tasks,type,matrix,time
5,hybrid,matrices/A_n1e6_d4.mtx,2.40579
4,hybrid,matrices/A_n1e6_d4.mtx,2.84505
1,hybrid,matrices/A_n1e6_d4.mtx,4.60028
3,hybrid,matrices/A_n2e6_d4.mtx,7.21457
5,hybrid,matrices/A_n3e6_d4.mtx,6.68804
5,hybrid,matrices/A_n2e6_d4.mtx,4.97441
3,hybrid,matrices/A_n1e6_d4.mtx,3.31317
2,hybrid,matrices/A_n1e6_d4.mtx,3.51612
1,hybrid,matrices/A_n2e6_d4.mtx,9.27794
2,hybrid,matrices/A_n3e6_d4.mtx,13.8124
3,hybrid,matrices/A_n5e6_d4.mtx,14.2051
4,hybrid,matrices/A_n2e6_d4.mtx,6.82015
1,hybrid,matrices/A_n3e6_d4.mtx,13.8855
2,hybrid,matrices/A_n2e6_d4.mtx,7.52556
5,hybrid,matrices/A_n5e6_d4.mtx,13.2094
4,hybrid,matrices/A_n3e6_d4.mtx,11.1279
3,hybrid,matrices/A_n3e6_d4.mtx,12.8987
4,hybrid,matrices/A_n5e6_d4.mtx,13.6801
1,hybrid,matrices/A_n5e6_d4.mtx,23.5419
2,hybrid,matrices/A_n5e6_d4.mtx,17.7995
